"","ID","tmax_1_historic_1970-2000","tmax_2_historic_1970-2000","tmax_3_historic_1970-2000","tmax_4_historic_1970-2000","tmax_5_historic_1970-2000","tmax_6_historic_1970-2000","tmax_7_historic_1970-2000","tmax_8_historic_1970-2000","tmax_9_historic_1970-2000","tmax_10_historic_1970-2000","tmax_11_historic_1970-2000","tmax_12_historic_1970-2000"
"1",1,8.30399990081787,10.8120002746582,13.4399995803833,16.0520000457764,19.6960010528564,23.1480007171631,27.2399997711182,27.8319988250732,24.7919998168945,18.8119983673096,11.6919994354248,8.14000034332275
"2",2,2.02799987792969,5.21999979019165,9.17599964141846,13.7279996871948,18.5359992980957,22.6879997253418,27.7320003509521,28.5880012512207,22.9039993286133,15.9160003662109,6.37200021743774,2.17599987983704
"3",3,0.18800000846386,3.50799989700317,9.01599979400635,14.8719997406006,19.7000007629395,24.8920001983643,29.7639999389648,29.9640007019043,24.2520008087158,17.511999130249,7.66400003433228,1.19200003147125
"4",4,12.07200050354,15.8000001907349,18.57200050354,22.6960010528564,27.1240005493164,31.1079998016357,33.6479988098145,33.2799987792969,31.4559993743896,26.3839988708496,18.003999710083,12.3800001144409
"5",5,12.2639999389648,16.6000003814697,19.5599994659424,23.7320003509521,28.4640007019043,32.7200012207031,36.0919990539551,35.423999786377,31.8839988708496,25.9759998321533,17.8839988708496,12.4200000762939
"6",6,19.3239994049072,20.3519992828369,21.2159996032715,24.5279998779297,26.5319995880127,30.5160007476807,34.1520004272461,34.4200019836426,32.060001373291,28.007999420166,23.1840000152588,19.7600002288818
"7",7,24.6800003051758,24.6200008392334,24.42799949646,24.4200000762939,24.8559989929199,25.6520004272461,25.9680004119873,26.5919990539551,26.8880004882812,26.6040000915527,25.507999420166,24.6720008850098
"8",8,5.15999984741211,8.19600009918213,11.9320001602173,16.3479995727539,21.503999710083,27.4039993286133,30.5,29.2399997711182,24.4479999542236,18.2240009307861,10.0480003356934,5.90799999237061
"9",9,15.3280000686646,18.0639991760254,22.4120006561279,26.2560005187988,29.4360008239746,32.7680015563965,34.9000015258789,35.3920021057129,32.7239990234375,28.068000793457,21.8759994506836,17.435998916626
"10",10,-2.80800008773804,1.06000006198883,7.9040002822876,15.9119997024536,22.5920009613037,27.6879997253418,29.7959995269775,28.3279991149902,24.4479999542236,17.5960006713867,7.55599975585938,-0.240000009536743
"11",11,0.204000011086464,3.13199996948242,9.9680004119873,17.0799999237061,23.4200000762939,28.6280002593994,30.4400005340576,29.1959991455078,25.8759994506836,18.9479999542236,10.4799995422363,3.49600005149841
"12",12,8.90799999237061,12.3080005645752,17.2999992370605,22.6040000915527,27.0799999237061,31.2999992370605,33.2000007629395,32.4040031433105,29.3999996185303,24.3999996185303,17,11.6000003814697
"13",13,2.05599999427795,4.59999990463257,10.8920001983643,17.503999710083,23.5160007476807,28.1840000152588,30.2040004730225,29.3239994049072,25.8840007781982,19.1919994354248,11.5279998779297,5.27600002288818
"14",14,-3.82399988174438,-1.91999995708466,3.41599988937378,10.0839996337891,17.576000213623,23,25.931999206543,24.9360008239746,20.2759990692139,13.7119998931885,6.08400011062622,-0.720000028610229
"15",15,11.8159999847412,14.6360006332397,19.1079998016357,23.2840003967285,27.0839996337891,30.564001083374,32.0400009155273,31.2560005187988,28.6639995574951,23.5879993438721,18.5440006256104,13.8039999008179
"16",16,-0.708000004291534,0.420000016689301,5.71999979019165,12.8520002365112,19.9640007019043,24.9599990844727,27.3479995727539,26.1720008850098,21.7360000610352,15.3359994888306,8.64400005340576,2.22000002861023
"17",17,5.52400016784668,7.69600009918213,12.8879995346069,18.9200000762939,24.2600002288818,28.7080001831055,31.1800003051758,30.1720008850098,26.6079998016357,20.3920001983643,14.3599996566772,8.63599967956543
"18",18,6.0959997177124,8.36800003051758,13.3959999084473,19.4720001220703,24.8680000305176,29.3279991149902,31.6200008392334,30.6760005950928,27.1919994354248,20.935998916626,14.7480001449585,9.03600025177002
"19",19,24.1840000152588,24.4839992523193,26.0839996337891,27.7719993591309,29.492000579834,30.8239994049072,31.7080001831055,31.8040008544922,31.2600002288818,29.6159992218018,27.1760005950928,25.1599998474121
"20",20,30.2181816101074,30.3181819915771,30.7136363983154,31.3636360168457,32.0818176269531,32.9090919494629,33.0999984741211,33.1636352539062,33.0590896606445,32.6500015258789,31.7181816101074,30.5318183898926
"21",21,4.50799989700317,8.06400012969971,12.6119995117188,17.1159992218018,21.8680000305176,26.7040004730225,31.6240005493164,31.6079998016357,25.8280010223389,18.2000007629395,9.42799949645996,4.7039999961853
"22",22,3.75600004196167,7.73199987411499,13.3400001525879,18.1520004272461,22.7959995269775,26.57200050354,30.4759998321533,30.5400009155273,25.2360000610352,18.6000003814697,9.50800037384033,4.01599979400635
"23",23,29.7399997711182,29.931999206543,30.576000213623,31.0919990539551,31.5599994659424,32.2519989013672,32.5439987182617,32.6360015869141,32.560001373291,32.1440010070801,31.0279998779297,29.9360008239746
"24",24,28.0879993438721,28.3999996185303,28.8159999847412,29.42799949646,30.1760005950928,31.0799999237061,31.1079998016357,31.3159999847412,31.1760005950928,30.7800006866455,29.7800006866455,28.423999786377
"25",25,21.0839996337891,23.6079998016357,26.4200000762939,30.5279998779297,34.447998046875,39.4119987487793,42.0319976806641,41.1040000915527,38.4959983825684,32.8359985351562,25.5960006713867,21.1119995117188
"26",26,19.435998916626,19.931999206543,20.1520004272461,22.4320011138916,23.3439998626709,25.9360008239746,28.5279998779297,29.2439994812012,28.4799995422363,25.992000579834,22.7520008087158,19.6919994354248
"27",27,13.9879999160767,17.07200050354,21.6240005493164,25.9160003662109,29.4519996643066,32.7760009765625,35.1359977722168,34.8040008544922,31.3839988708496,26.6760005950928,19.8920001983643,15.5279998779297
"28",28,32.1759986877441,33.2360000610352,34.3839988708496,34.8959999084473,33.1920013427734,31.3360004425049,31.5319995880127,31.503999710083,30.8920001983643,30.4559993743896,30.7040004730225,31.2719993591309
"29",29,13.9879999160767,17.07200050354,21.6240005493164,25.9160003662109,29.4519996643066,32.7760009765625,35.1359977722168,34.8040008544922,31.3839988708496,26.6760005950928,19.8920001983643,15.5279998779297
"30",30,0.572000026702881,2.19199991226196,6.77999973297119,12.3839998245239,18.0359992980957,22,23.9599990844727,23.3360004425049,20.2159996032715,14.3120002746582,8.35999965667725,3.29999995231628
"31",31,1.67200005054474,3.75999999046326,8.24400043487549,13.6479997634888,18.8560009002686,22.3519992828369,24.3279991149902,23.6879997253418,20.6879997253418,15.2880001068115,9.33600044250488,4.26399993896484
"32",32,1.67200005054474,3.75999999046326,8.24400043487549,13.6479997634888,18.8560009002686,22.3519992828369,24.3279991149902,23.6879997253418,20.6879997253418,15.2880001068115,9.33600044250488,4.26399993896484
"33",33,-5.47200012207031,-2.43199992179871,3.27600002288818,10.996000289917,19.3959999084473,24.1119995117188,26.3279991149902,24.935998916626,20.2479991912842,13.6960000991821,4.38000011444092,-2.76399993896484
"34",34,1.62000000476837,3.91599988937378,6.35599994659424,9.65200042724609,13.9200000762939,17.8360004425049,21.992000579834,23.7240009307861,19.5520000457764,13.9759998321533,5.7960000038147,1.96000003814697
"35",35,1.36000001430511,3.85999989509583,6.21600008010864,9.19200038909912,13.3319997787476,17.4120006561279,21.8080005645752,22.3999996185303,18.4839992523193,13.0880002975464,5.53200006484985,1.86000001430511
"36",36,23.0240001678467,22.7320003509521,22.4519996643066,22.7719993591309,23.5440006256104,24.2999992370605,24.4759998321533,25.2639999389648,25.8519992828369,25.4680004119873,24.2239990234375,22.9839992523193
"37",37,18.7759990692139,18.5639991760254,18.0599994659424,18.0279998779297,18.7119998931885,19.6359996795654,20.0920009613037,20.931999206543,21.0200004577637,20.8080005645752,19.7320003509521,18.503999710083
"38",38,25.2199993133545,25.2199993133545,25.2399997711182,25.4400005340576,26.2600002288818,27.4400005340576,27.6199989318848,27.9400005340576,28.2399997711182,27.8400001525879,26.4200000762939,25.2600002288818
