"","ID","tmin_1_historic_1970-2000","tmin_2_historic_1970-2000","tmin_3_historic_1970-2000","tmin_4_historic_1970-2000","tmin_5_historic_1970-2000","tmin_6_historic_1970-2000","tmin_7_historic_1970-2000","tmin_8_historic_1970-2000","tmin_9_historic_1970-2000","tmin_10_historic_1970-2000","tmin_11_historic_1970-2000","tmin_12_historic_1970-2000"
"1",1,1.29199993610382,2.18400001525879,3.22399997711182,4.40000009536743,6.65199995040894,9.33599948883057,11.1400003433228,10.8479995727539,9.12800025939941,5.56799983978271,3.31200003623962,1.29999995231628
"2",2,-4.55999994277954,-2.48399996757507,-0.159999996423721,2.12400007247925,5.20800018310547,8.11600017547607,9.85599994659424,9.64799976348877,5.9520001411438,1.37599992752075,-0.967999994754791,-4.37200021743774
"3",3,-9.80000019073486,-7.77600002288818,-3.32800006866455,-0.224000006914139,3.93200016021729,7.67999982833862,10.2119998931885,9.4399995803833,4.79199981689453,-0.104000002145767,-4.62799978256226,-9.42800045013428
"4",4,3.10399985313416,4.76000022888184,6.4040002822876,7.7039999961853,10.503999710083,12.9040002822876,13.7320003509521,13.1280002593994,12.2919998168945,9.22799968719482,5.26000022888184,2.44799995422363
"5",5,3.00799989700317,4.79200029373169,6.7960000038147,8.52400016784668,12.1319999694824,15.456000328064,18.1560001373291,17.5,14.6759996414185,10.0799999237061,4.94400024414062,2.19199991226196
"6",6,5.51999998092651,6.43200016021729,7.44799995422363,8.94400024414062,11.6040000915527,14.0080003738403,16.2360000610352,16.8640003204346,15.3400001525879,11.8479995727539,7.49599981307983,4.98400020599365
"7",7,16.1440010070801,16.0559997558594,16.5160007476807,17.1159992218018,17.7880001068115,18.5160007476807,19.1599998474121,19.3080005645752,19.1159992218018,18.8959999084473,18.1560001373291,17.0520000457764
"8",8,-10.1120004653931,-7.09999990463257,-3.40799999237061,0.688000023365021,6.03999996185303,10.8680000305176,13.5679998397827,12.7360000610352,7.50799989700317,1.3639999628067,-4.90799999237061,-9.14799976348877
"9",9,3.44400000572205,5.53999996185303,9.60000038146973,13.3000001907349,17.8880004882812,21.5,22.8479995727539,22.6359996795654,20.0480003356934,14.3000001907349,8.95599937438965,5.11999988555908
"10",10,-13.076000213623,-9.48799991607666,-3.01999998092651,3.22000002861023,9.61600017547607,14.996000289917,17.4720001220703,16.1000003814697,11.0120000839233,4.19600009918213,-2.90799999237061,-9.79199981689453
"11",11,-8.61200046539307,-6.21999979019165,-0.407999992370605,4.96400022506714,11.039999961853,16.3640003204346,18.6879997253418,17.4400005340576,12.9519996643066,6.58799982070923,0.787999987602234,-5.01599979400635
"12",12,-0.663999974727631,1.59600007534027,5.99599981307983,10.5,15.7919998168945,20.2000007629395,22,20.8880004882812,17.1119995117188,10.3999996185303,5.38000011444092,1.49600005149841
"13",13,-6.95599985122681,-5.43599987030029,-0.516000032424927,4.40000009536743,10.2080001831055,15.3959999084473,17.7959995269775,16.8479995727539,12.7440004348755,6.23999977111816,1.27199995517731,-3.51600003242493
"14",14,-12.6000003814697,-11.1359996795654,-5.67600011825562,0.18800000846386,5.67199993133545,10.96399974823,14.5520000457764,14.1560001373291,9.96399974822998,4.34000015258789,-1.57599997520447,-8.22799968719482
"15",15,0.432000011205673,1.69200003147125,5.55599975585938,9.17599964141846,13.92799949646,18.0880012512207,20.1879997253418,19.8920001983643,16.8199996948242,10.2559995651245,5.42799997329712,1.72000002861023
"16",16,-9.22399997711182,-8.69999980926514,-3.88000011444092,2.05200004577637,7.92799997329712,13,15.6999998092651,14.7040004730225,10.3879995346069,4.56799983978271,0.228000000119209,-5.67199993133545
"17",17,-4.30399990081787,-3.11199998855591,1.16799998283386,5.92000007629395,11.3879995346069,16.3759994506836,19.1560001373291,18.42799949646,14.5159997940063,7.72399997711182,2.84800004959106,-1.6360000371933
"18",18,-3.6800000667572,-2.3840000629425,1.74800002574921,6.54400014877319,12.1800003051758,17.2520008087158,19.935998916626,19.1720008850098,15.2360000610352,8.4040002822876,3.29999995231628,-1.10800004005432
"19",19,15.1440000534058,15.2880001068115,17.3519992828369,19.1840000152588,21.5960006713867,23.3199996948242,24.1160011291504,24.2959995269775,24,22.2000007629395,19.4479999542236,16.7320003509521
"20",20,17.7863636016846,17.6318187713623,18.0318183898926,19.0636367797852,20.3136367797852,20.9590911865234,21,21.0636367797852,20.9363632202148,20.481819152832,19.9272727966309,18.6318187713623
"21",21,-2.92799997329712,-0.931999981403351,1.06400001049042,3.32399988174438,6.59999990463257,10.2840003967285,13.1160001754761,12.5880002975464,8.02400016784668,3.26399993896484,0.495999991893768,-2.66000008583069
"22",22,-4.18400001525879,-1.8199999332428,1.067999958992,3.57200002670288,7.28399991989136,10.7880001068115,13.0839996337891,12.3719997406006,8.17600059509277,3.09200000762939,-0.708000004291534,-3.92799997329712
"23",23,16.8680000305176,16.7040004730225,17.0639991760254,18.0960006713867,19.3800010681152,19.9600009918213,20.1319999694824,20.2880001068115,20.1679992675781,19.7199993133545,19.0639991760254,17.8360004425049
"24",24,21.0599994659424,20.9479999542236,21.3120002746582,22.1079998016357,23.0960006713867,24.1079998016357,24.423999786377,24.2560005187988,23.7999992370605,23.3040008544922,22.4680004119873,21.6160011291504
"25",25,5.41599988937378,7.39200019836426,9.86399936676025,12.7119998931885,16.6760005950928,20.4799995422363,23.7719993591309,24.2520008087158,20.9759998321533,15.1639995574951,8.66800022125244,4.75999975204468
"26",26,7.06799983978271,7.64400005340576,8.40799999237061,9.70800018310547,12.0920000076294,14.2080001831055,16.1639995574951,16.6639995574951,15.8079996109009,13.0120000839233,9.13199996948242,6.66799974441528
"27",27,-0.467999994754791,2.10800004005432,6.23999977111816,10.6240005493164,15.6319999694824,19.7399997711182,21.3880004882812,20.9079990386963,17.4759998321533,11.5640001296997,5.46000003814697,0.808000028133392
"28",28,20.9720001220703,21.423999786377,22.0440006256104,22.5880012512207,22.8360004425049,22.7399997711182,22.7280006408691,22.3279991149902,22.064001083374,21.935998916626,21.6399993896484,21.0279998779297
"29",29,-0.467999994754791,2.10800004005432,6.23999977111816,10.6240005493164,15.6319999694824,19.7399997711182,21.3880004882812,20.9079990386963,17.4759998321533,11.5640001296997,5.46000003814697,0.808000028133392
"30",30,-9.04399967193604,-8.11200046539307,-4.12400007247925,0.643999993801117,5.64799976348877,10.0319995880127,12.5279998779297,11.9519996643066,8.76000022888184,2.98799991607666,-1.42400002479553,-6.24399995803833
"31",31,-8.44799995422363,-7.21600008010864,-3.10400009155273,1.20799994468689,6.29199981689453,10.8159999847412,13.1879997253418,12.6040000915527,9.27600002288818,3.28799986839294,-1.38800001144409,-5.87599992752075
"32",32,-8.44799995422363,-7.21600008010864,-3.10400009155273,1.20799994468689,6.29199981689453,10.8159999847412,13.1879997253418,12.6040000915527,9.27600002288818,3.28799986839294,-1.38800001144409,-5.87599992752075
"33",33,-16.9400005340576,-14.9919996261597,-8.91600036621094,-1.83599996566772,4.2519998550415,9.4040002822876,12.5240001678467,11.7600002288818,7.49200010299683,1.6599999666214,-4.72399997711182,-12.1920003890991
"34",34,-4.96799993515015,-3.66400003433228,-2.27600002288818,-0.931999981403351,1.78400003910065,4.90399980545044,7.5,7.77199983596802,5.09200000762939,1.5440000295639,-1.30799996852875,-4.00799989700317
"35",35,-5.23600006103516,-3.91199994087219,-2.31200003623962,-0.896000027656555,1.932000041008,4.97200012207031,7.66400003433228,7.40399980545044,4.88400030136108,1.23199999332428,-1.90799999237061,-4.57200002670288
"36",36,12.1960000991821,12.2480001449585,12.8599996566772,13.9919996261597,14.7039995193481,15.3920001983643,16.0160007476807,16.2399997711182,16.0319995880127,15.5319995880127,14.6800003051758,13.3719997406006
"37",37,8.84000015258789,8.96000003814697,9.54800033569336,10.4040002822876,11.1000003814697,11.7679996490479,12.8079996109009,12.7080001831055,12.6079998016357,12.3400001525879,11.2840003967285,9.85200023651123
"38",38,16.9400005340576,16.8800010681152,17.3400001525879,18.0799999237061,18.7399997711182,19.4400005340576,20.1200008392334,20.3999996185303,20.1999988555908,19.8999996185303,19.0799999237061,17.8999996185303
