# http://192.168.88.243:3838/npgsClimate/ --workers 50 --loaded-duration-minutes 2 --output-dir run2
# {"appUrl":"http://192.168.88.243:3838/npgsClimate/","debugLog":false,"loadedDurationMinutes":2.0,"logLevel":"WARN","outputDir":"run2","overwriteOutput":false,"recordingPath":"recording.log","workers":50}
session_id,worker_id,iteration,event,timestamp,input_line_number,comment
61,11,1,PLAYER_SESSION_CREATE,1669236429205,0,
61,11,1,REQ_HOME_START,1669236429205,4,
61,11,1,REQ_HOME_END,1669236446157,4,
61,11,1,REQ_GET_START,1669236446157,5,
61,11,1,REQ_GET_END,1669236446163,5,
61,11,1,REQ_GET_START,1669236446163,6,
61,11,1,REQ_GET_END,1669236446164,6,
61,11,1,REQ_GET_START,1669236446164,7,
61,11,1,REQ_GET_END,1669236446172,7,
61,11,1,REQ_GET_START,1669236446172,8,
61,11,1,REQ_GET_END,1669236446178,8,
61,11,1,REQ_GET_START,1669236446178,9,
61,11,1,REQ_GET_END,1669236446181,9,
61,11,1,REQ_GET_START,1669236446182,10,
61,11,1,REQ_GET_END,1669236446183,10,
61,11,1,REQ_GET_START,1669236446183,11,
61,11,1,REQ_GET_END,1669236446184,11,
61,11,1,REQ_GET_START,1669236446184,12,
61,11,1,REQ_GET_END,1669236446184,12,
61,11,1,REQ_GET_START,1669236446184,13,
61,11,1,REQ_GET_END,1669236446185,13,
61,11,1,REQ_GET_START,1669236446185,14,
61,11,1,REQ_GET_END,1669236446188,14,
61,11,1,REQ_GET_START,1669236446188,15,
61,11,1,REQ_GET_END,1669236446189,15,
61,11,1,REQ_GET_START,1669236446189,16,
61,11,1,REQ_GET_END,1669236446191,16,
61,11,1,REQ_GET_START,1669236446191,17,
61,11,1,REQ_GET_END,1669236446193,17,
61,11,1,REQ_GET_START,1669236446193,18,
61,11,1,REQ_GET_END,1669236446197,18,
61,11,1,REQ_GET_START,1669236446197,19,
61,11,1,REQ_GET_END,1669236446198,19,
61,11,1,REQ_GET_START,1669236446198,20,
61,11,1,REQ_GET_END,1669236446199,20,
61,11,1,REQ_GET_START,1669236446199,21,
61,11,1,REQ_GET_END,1669236446202,21,
